date,open,high,low,close,volume,Name
2013-02-08,79.12,79.12,78.43,78.86,2421965,TRV
2013-02-11,78.75,79.32,78.53,79.21,1648772,TRV
2013-02-12,79.1,80.18,79.1,79.9,1747449,TRV
2013-02-13,79.9,80.305,79.81,79.99,1457551,TRV
2013-02-14,79.64,80.47,79.53,80.34,1810517,TRV
2013-02-15,80.76,80.85,79.95,80.39,2257660,TRV
2013-02-19,80.5,81.07,80.27,80.6,2199761,TRV
2013-02-20,80.66,80.9565,80.07,80.11,2046878,TRV
2013-02-21,80.08,80.4,79.92,80.38,2421156,TRV
2013-02-22,80.68,81.15,80.58,81.01,1773791,TRV
2013-02-25,80.99,81.0,79.25,79.25,2492120,TRV
2013-02-26,79.42,80.105,79.28,80.04,2062214,TRV
2013-02-27,80.11,80.84,79.87,80.78,1386530,TRV
2013-02-28,80.61,81.25,80.33,80.42,2157826,TRV
2013-03-01,80.16,80.72,79.35,80.69,1843944,TRV
2013-03-04,80.65,80.65,79.99,80.52,1501554,TRV
2013-03-05,80.79,82.0,80.5625,81.46,2067107,TRV
2013-03-06,81.61,81.88,80.9,81.07,1278280,TRV
2013-03-07,81.11,81.44,80.9001,81.2,1143057,TRV
2013-03-08,81.68,82.05,81.24,81.65,1398161,TRV
2013-03-11,81.58,81.7999,81.18,81.75,1311963,TRV
2013-03-12,81.56,81.94,81.47,81.74,1237228,TRV
2013-03-13,81.77,82.27,81.72,82.12,1424505,TRV
2013-03-14,82.24,82.89,81.98,82.36,2086895,TRV
2013-03-15,82.64,83.15,81.96,82.28,4756605,TRV
2013-03-18,81.86,83.11,81.86,82.53,1996170,TRV
2013-03-19,82.74,83.41,82.66,83.19,2002539,TRV
2013-03-20,83.6,84.1,83.37,83.84,1928514,TRV
2013-03-21,83.53,84.09,83.4,83.75,1834692,TRV
2013-03-22,84.37,84.37,83.42,83.69,2362326,TRV
2013-03-25,84.03,84.11,82.94,83.37,2229699,TRV
2013-03-26,83.64,84.06,83.19,83.36,2034840,TRV
2013-03-27,83.1,83.59,82.57,83.37,2005754,TRV
2013-03-28,83.43,84.28,83.43,84.19,1311812,TRV
2013-04-01,84.37,84.72,83.75,83.95,1306830,TRV
2013-04-02,84.1,84.62,84.1,84.41,1199410,TRV
2013-04-03,84.64,84.72,83.67,83.72,1674872,TRV
2013-04-04,83.92,84.61,83.85,84.34,1366872,TRV
2013-04-05,83.78,84.48,83.34,84.41,1911811,TRV
2013-04-08,84.38,84.79,83.98,84.73,1121065,TRV
2013-04-09,84.97,85.6,84.65,85.27,1391562,TRV
2013-04-10,85.29,85.61,84.64,84.81,1626322,TRV
2013-04-11,84.99,86.13,84.99,86.06,2246677,TRV
2013-04-12,85.91,86.41,85.61,86.26,1181349,TRV
2013-04-15,86.2,86.61,84.7056,84.71,2303606,TRV
2013-04-16,85.08,86.6,84.75,86.55,2238075,TRV
2013-04-17,86.06,86.15,84.8,85.07,2145754,TRV
2013-04-18,85.43,85.7,83.73,84.1,1909240,TRV
2013-04-19,84.33,84.94,84.24,84.81,2155175,TRV
2013-04-22,84.8,85.03,83.95,84.58,2775315,TRV
2013-04-23,87.41,89.0,85.76,86.35,3445663,TRV
2013-04-24,86.36,86.64,85.57,85.86,2033592,TRV
2013-04-25,85.95,86.0,85.065,85.27,2137633,TRV
2013-04-26,85.22,85.85,85.13,85.15,1652112,TRV
2013-04-29,85.2,85.6,84.75,85.48,2125043,TRV
2013-04-30,85.26,85.64,85.04,85.41,1674380,TRV
