date,open,high,low,close,volume,Name
2013-02-08,50.38,50.5,50.08,50.35,4175138,AFL
2013-02-11,50.36,50.39,50.11,50.26,3321756,AFL
2013-02-12,50.11,50.22,49.42,49.5,7704847,AFL
2013-02-13,49.43,49.54,48.49,48.65,6063028,AFL
2013-02-14,48.43,48.93,48.1724,48.83,4984415,AFL
2013-02-15,48.94,49.41,48.75,49.34,5319567,AFL
2013-02-19,49.26,49.62,48.83,49.53,4588503,AFL
2013-02-20,50.03,50.25,49.79,49.82,4685629,AFL
2013-02-21,49.83,49.83,49.1,49.58,4031127,AFL
2013-02-22,49.93,50.07,49.59,50.07,2775428,AFL
2013-02-25,50.27,50.28,48.84,48.88,3603410,AFL
2013-02-26,49.2,49.455,48.51,48.81,4689968,AFL
2013-02-27,48.86,50.08,48.78,49.93,4348020,AFL
2013-02-28,49.86,50.42,49.64,49.95,3098224,AFL
2013-03-01,50.09,50.67,49.57,50.19,3613882,AFL
2013-03-04,50.0,50.27,49.77,50.21,2608965,AFL
2013-03-05,50.6,51.25,50.52,51.01,3092878,AFL
2013-03-06,51.25,51.53,51.01,51.1,2101086,AFL
2013-03-07,51.3,51.62,50.69,51.57,3182317,AFL
2013-03-08,51.75,51.94,50.09,50.14,6912160,AFL
2013-03-11,50.1,51.05,49.99,51.05,3512633,AFL
2013-03-12,50.89,50.995,50.585,50.75,2714840,AFL
2013-03-13,50.8,50.9,50.43,50.64,2154729,AFL
2013-03-14,50.89,51.03,50.5,50.66,2662207,AFL
2013-03-15,50.66,51.09,50.52,51.08,4130277,AFL
2013-03-18,50.47,50.64,50.11,50.22,3286365,AFL
2013-03-19,50.42,50.45,49.58,49.81,3453246,AFL
2013-03-20,50.17,50.89,50.01,50.72,3326225,AFL
2013-03-21,50.51,51.35,50.25,51.06,4576228,AFL
2013-03-22,51.24,51.85,51.1,51.85,3067258,AFL
2013-03-25,51.99,51.99,51.18,51.52,2277519,AFL
2013-03-26,51.83,52.49,51.62,52.49,3886401,AFL
2013-03-27,52.08,52.12,51.65,51.91,2299698,AFL
2013-03-28,51.91,52.09,51.61,52.02,1942320,AFL
2013-04-01,52.06,52.26,51.72,52.15,2455924,AFL
2013-04-02,52.45,53.61,52.37,52.9,3661432,AFL
2013-04-03,53.0,53.0,52.46,52.7,4031499,AFL
2013-04-04,52.5,52.56,51.195,51.5,5335293,AFL
2013-04-05,50.8,50.8,49.17,49.49,6090244,AFL
2013-04-08,49.68,49.685,48.54,49.6,3879936,AFL
2013-04-09,49.58,50.11,49.36,49.75,2499390,AFL
2013-04-10,49.87,50.38,49.72,50.21,3178010,AFL
2013-04-11,50.29,50.38,49.66,49.81,2851295,AFL
2013-04-12,49.5,50.13,49.44,50.11,2203968,AFL
2013-04-15,49.92,50.1,48.95,48.97,3270849,AFL
2013-04-16,49.35,50.27,49.22,50.21,2471431,AFL
2013-04-17,49.75,49.75,48.91,49.16,3294760,AFL
2013-04-18,49.19,49.33,48.56,48.9,2459845,AFL
2013-04-19,49.15,49.502,48.99,49.39,3785982,AFL
2013-04-22,49.48,49.84,48.95,49.72,1912694,AFL
2013-04-23,49.92,50.8205,49.78,50.67,3600267,AFL
2013-04-24,50.76,51.59,50.74,51.56,3391441,AFL
2013-04-25,51.23,53.0,51.225,52.57,6327779,AFL
2013-04-26,52.89,53.31,52.69,53.2,4385311,AFL
2013-04-29,53.34,54.4,53.2,54.04,3766831,AFL
2013-04-30,54.0,54.71,53.96,54.44,3018971,AFL
2013-05-01,54.29,54.97,54.28,54.38,2195714,AFL
2013-05-02,54.64,55.1,54.38,54.94,2616892,AFL
2013-05-03,55.48,55.9,55.31,55.36,2397650,AFL
2013-05-06,55.36,55.93,55.34,55.61,1743199,AFL
2013-05-07,55.58,55.78,55.0,55.38,2786860,AFL
2013-05-08,55.28,56.04,55.2,55.91,2089584,AFL
2013-05-09,55.94,56.03,54.75,54.85,3825797,AFL
2013-05-10,54.73,54.8,53.57,53.95,4585953,AFL
2013-05-13,53.95,54.0,53.51,53.84,2872653,AFL
2013-05-14,53.95,54.63,53.9,54.56,3205392,AFL
2013-05-15,54.47,54.92,54.37,54.81,2585469,AFL
2013-05-16,54.5,54.88,54.09,54.32,2893192,AFL
2013-05-17,54.43,55.3,54.34,55.24,3543025,AFL
2013-05-20,54.77,55.89,54.77,55.58,3617243,AFL
2013-05-21,55.55,56.34,55.12,55.84,3840848,AFL
2013-05-22,56.02,56.77,55.108,55.33,3950215,AFL
2013-05-23,54.67,55.24,54.48,55.06,2643754,AFL
2013-05-24,54.84,54.98,54.02,54.95,2092417,AFL
2013-05-28,55.64,56.112,55.09,55.11,2161495,AFL
2013-05-29,54.65,55.985,54.53,55.69,2486923,AFL
2013-05-30,55.84,56.959,55.75,56.52,2253986,AFL
2013-05-31,56.45,56.9,55.69,55.69,2594588,AFL
2013-06-03,55.84,56.45,55.1,56.4,3030183,AFL
2013-06-04,56.5,56.725,55.42,55.81,2510181,AFL
2013-06-05,55.62,55.77,54.95,55.19,2408634,AFL
2013-06-06,55.17,56.75,54.77,56.57,3576740,AFL
2013-06-07,56.87,57.245,56.35,57.03,3709014,AFL
2013-06-10,57.2,57.4699,56.69,56.8,2929367,AFL
2013-06-11,56.31,56.81,56.134,56.41,3731347,AFL
2013-06-12,56.81,56.96,56.01,56.08,2391326,AFL
2013-06-13,56.1,57.63,56.058,57.46,2733448,AFL
2013-06-14,57.7,58.46,57.1623,57.51,2762234,AFL
2013-06-17,57.87,58.0499,57.34,57.58,2822798,AFL
2013-06-18,57.73,57.96,57.49,57.77,2489238,AFL
2013-06-19,57.9,58.75,57.215,57.34,3577744,AFL
2013-06-20,56.75,57.53,56.72,56.95,2865863,AFL
2013-06-21,57.57,57.57,56.37,56.66,3385458,AFL
2013-06-24,56.19,56.33,55.201,55.68,2630787,AFL
2013-06-25,56.13,57.12,55.84,56.82,2180768,AFL
2013-06-26,57.45,57.66,56.84,57.26,1602968,AFL
2013-06-27,57.65,58.32,57.41,58.2,2742675,AFL
2013-06-28,58.05,58.54,57.45,58.12,2605500,AFL
2013-07-01,58.53,58.629,57.47,57.67,2653975,AFL
2013-07-02,57.53,57.86,56.62,56.79,2692906,AFL
2013-07-03,56.46,56.75,56.08,56.6,1342368,AFL
2013-07-05,56.99,57.25,56.57,57.16,1886292,AFL
2013-07-08,57.39,58.26,57.38,58.02,2144432,AFL
2013-07-09,58.34,58.68,58.0,58.52,1911446,AFL
2013-07-10,58.38,58.7,58.09,58.5,1628129,AFL
2013-07-11,59.07,59.38,58.67,59.25,1874467,AFL
2013-07-12,59.31,59.37,58.42,59.14,1846397,AFL
2013-07-15,59.06,59.13,58.52,58.9,2087007,AFL
2013-07-16,58.93,59.33,58.92,59.18,1932559,AFL
2013-07-17,59.31,59.5695,58.93,59.05,1315161,AFL
